기준일,시간대,자치구,남자0-9세,남자10-14세,남자15-19세,남자20-24세,남자25-29세,남자30-34세,남자35-39세,남자40-44세,남자45-49세,남자50-54세,남자55-59세,남자60-64세,남자65-69세,남자70세이상,여자0-9세,여자10-14세,여자15-19세,여자20-24세,여자25-29세,여자30-34세,여자35-39세,여자40-44세,여자45-49세,여자50-54세,여자55-59세,여자60-64세,여자65-69세,여자70세이상
20200110,1,관악구,12778.6438,6294.2627,10621.5554,23336.5877,39448.4838,30617.4859,25183.511,19858.23,20806.1539,15503.7037,15852.6331,13147.8573,10216.9581,22653.7963,12802.873,6231.3735,10787.2493,31553.3117,37542.522,26139.8051,21851.975,17341.9127,17667.0679,16567.7339,18892.5723,17114.4789,13914.108,32716.5676
20200110,1,서초구,17486.692,9905.8243,13361.992,13971.7722,16856.0443,17718.0716,22424.4062,22337.3679,25107.5768,18147.8818,16265.2875,13177.206,10040.5068,20603.3499,19149.0961,10693.5821,14389.6096,16349.1315,18738.9266,20008.7018,23978.5689,22318.567,22837.308,17216.9836,17460.7077,16616.4801,12915.8227,30969.2594
20200110,1,강남구,22488.9815,14896.5229,22312.892,18327.4419,25647.0581,27078.5939,33009.694,31741.2676,34237.9712,25437.0324,20857.2018,17207.6928,13084.3381,25947.3553,21810.2144,13921.7129,22068.5256,24898.0785,29031.3306,29564.7668,32820.455,30929.1633,31631.2355,22217.9809,22067.1013,21068.0828,16183.1354,38630.0857
20200110,1,송파구,29718.85,15277.9941,20317.1448,18986.0226,26881.417,29058.0657,35677.6986,31518.293,32333.3754,26055.0851,26951.3069,23046.1395,16983.4905,29182.7351,29646.5546,15665.0997,20326.232,23869.1898,31078.9252,33715.9028,36972.6082,31584.692,32841.4141,27811.7658,32036.901,28758.3764,20910.1836,44442.5644
20200110,1,강동구,21552.6118,11553.089,15033.975,13342.5892,16683.0679,17471.6596,21913.3337,20930.2091,21691.8719,17916.8672,19557.8162,16934.0586,12497.4225,23371.0221,18998.1303,9851.8917,13807.3382,15820.493,18616.9725,19101.2731,22953.3548,21075.1572,21881.1658,19957.0583,23759.8861,21832.385,16095.7649,34902.2568
20200110,2,종로구,5219.0226,3085.9736,5515.5583,9444.3163,9600.8894,7795.7949,8624.1787,8221.6485,10032.7948,8412.8089,8443.3194,6948.3104,4840.4663,10841.6888,4498.1972,2694.0334,5398.6613,10384.1845,8582.1846,7351.3285,8070.8748,7632.9075,9465.9789,7741.4531,8766.5054,7451.8162,5718.1741,16621.5209
20200110,2,중구,3820.348,1566.5023,2920.0166,6230.8578,8585.5453,9216.6147,10508.6795,8829.4343,8511.3518,6818.1993,7271.5778,5681.0532,4038.1186,7842.3979,3943.1467,1700.1085,3162.9144,7831.8892,8843.5,8425.579,9395.2273,7174.4896,7548.5461,6254.2176,7232.8444,6513.6303,4703.0293,11607.0845
20200110,2,용산구,7098.0432,3527.7617,5453.2367,8415.7254,10945.5802,11779.8207,13611.7949,11387.8572,11953.0521,9362.6375,8809.3199,7375.9,5001.0564,10638.6325,6830.4312,3366.477,5215.5816,10237.4572,12258.7192,12394.9619,12969.1347,10231.3293,10625.4319,8529.3385,9497.3035,8496.2015,6271.3539,17718.5125
20200110,2,성동구,12387.3531,5301.2408,6970.2179,11092.6006,14175.6046,13728.006,16186.7142,13578.5529,14036.4608,11152.0101,12077.5486,9561.5322,6674.9174,13237.8764,11917.3633,5294.4418,7455.624,13825.182,14949.716,15137.9762,16692.6345,12888.8912,13185.447,11229.7926,13066.2242,11714.37,8420.1649,22286.1204
20200110,2,광진구,11674.5569,6371.0959,10040.8507,15166.9222,18618.8091,15979.2912,15885.905,13828.7031,15125.0716,12967.2906,13524.3202,10604.7727,7135.184,14319.4745,11409.1916,6359.0397,10004.4505,19683.3353,20659.763,17445.5232,16561.9232,14318.5556,15636.2596,14171.504,15090.8494,13230.0037,9273.3741,21723.0665
